name,status,update,version,update_version,auto_update
akismet,active,none,5.6,,off
all-in-one-seo-pack,active,none,4.9.6.2,,off
pojo-accessibility,active,none,4.1.0,,off
code-snippets,active,none,3.9.5,,off
hostinger-ai-assistant,active,none,3.0.34,,off
hostinger-easy-onboarding,active,none,2.1.17,,off
hostinger-reach,active,none,1.4.6,,off
hostinger,active,none,3.0.65,,off
image-optimization,active,none,1.7.3,,off
litespeed-cache,active,none,7.8.1,,off
google-site-kit,active,none,1.176.0,,off
ultimate-addons-for-gutenberg,active,none,2.19.22,,off
astra-sites,active,none,4.5.3,,off
sureforms,active,none,2.8.0,,off
suremails,active,none,1.9.3,,off
duplicate-post,active,none,4.6,,off
farmer_courses,must-use,,,,off
farmer_videos,must-use,,,,off
hostinger-preview-domain,must-use,,1.3.4,,off
hostinger-auto-updates,must-use,,1.0.7,,off
